FirstName,LastName,Email,Pledge,Lifetime,Status,Country,Start
1 + Reward,"Description I will add your name to the contributors page on my website. You will also be eligible for Patreon-only rewards. I will occasionally give away books that I have read, and will choose a Patron at random to receive those.",,,,,,
John,Doe,johndoe@bogusemail.com,10,20,Ok,,28:06.2
Dave,Smith,davesmith@bogusemail.com,5,10,Ok,,13:58.3
Mary,Jacobs,maryjacobs@bogusemail.com,5,10,Ok,,37:01.1
Jane,Stuart,janestuart@bogusemail.com,5,25,Ok,,30/12/16 18:12
Tom,Wright,tomwright@bogusemail.com,5,15,Ok,,02:06.7
Steve,Robinson,steverobinson@bogusemail.com,5,20,Ok,,17/3/17 2:20
Nicole,Jacobs,nicolejacobs@bogusemail.com,5,20,Ok,,12/3/17 17:07
Jane,Wright,janewright@bogusemail.com,5,25,,,14/1/17 17:40
Jane,Doe,janedoe@bogusemail.com,2.5,5,Ok,,20:50.8
Kurt,Wright,kurtwright@bogusemail.com,2,2,Ok,,12:15.7
Kurt,Robinson,kurtrobinson@bogusemail.com,2,4,Ok,,18:54.9
Jane,Jenkins,janejenkins@bogusemail.com,2,8,Ok,,37:47.7
Neil,Robinson,neilrobinson@bogusemail.com,1.5,3,Ok,,59:51.0
Tom,Patterson,tompatterson@bogusemail.com,1.34,4.02,Ok,,55:12.3
Sam,Jenkins,samjenkins@bogusemail.com,1,0,Ok,,34:47.7
Steve,Stuart,stevestuart@bogusemail.com,1,1,Ok,,32:00.7
Maggie,Patterson,maggiepatterson@bogusemail.com,1,2,Ok,,23:14.1
Maggie,Stuart,maggiestuart@bogusemail.com,1,2,Ok,,11:08.6
Jane,Doe,janedoe@bogusemail.com,1,3,Ok,,40:17.0
Steve,Patterson,stevepatterson@bogusemail.com,1,3,Ok,,14:23.6
Dave,Smith,davesmith@bogusemail.com,1,3,Ok,,35:10.7
Sam,Wilks,samwilks@bogusemail.com,1,4,Ok,,1/3/17 9:40
Kurt,Jefferson,kurtjefferson@bogusemail.com,1,5,Ok,,24/2/17 8:23
Sam,Stuart,samstuart@bogusemail.com,1,5,Ok,,12/2/17 0:14
Jane,Stuart,janestuart@bogusemail.com,1,5,Ok,,6/2/17 14:52
Dave,Davis,davedavis@bogusemail.com,1,0,,,18/11/16 1:37
Sam,Patterson,sampatterson@bogusemail.com,1,8,Ok,,1/11/16 11:27
Tom,Jefferson,tomjefferson@bogusemail.com,1,10,Ok,,27/9/16 9:56
Jane,Stuart,janestuart@bogusemail.com,1,7,,,9/8/16 14:42
Maggie,Jefferson,maggiejefferson@bogusemail.com,1,12,Ok,,26/7/16 5:02
No Reward,Description: (None for No Reward),,,,,,
Mary,Wilks,marywilks@bogusemail.com,20,60,Ok,,44:43.4
Neil,Patterson,neilpatterson@bogusemail.com,10,80,Ok,,12/11/16 17:49
Corey,Davis,coreydavis@bogusemail.com,6,90,Ok,,1/4/16 15:19
Steve,Jacobs,stevejacobs@bogusemail.com,5,21,Ok,,4/1/17 19:38
Jane,Jenkins,janejenkins@bogusemail.com,5,30,Ok,,15/1/17 17:24
John,Jacobs,johnjacobs@bogusemail.com,3.14,34.54,Ok,,23/8/16 16:09
Neil,Smith,neilsmith@bogusemail.com,3,24,Ok,,28/11/16 2:57
Corey,Wilks,coreywilks@bogusemail.com,2,8,Ok,,13:08.2
Corey,Smith,coreysmith@bogusemail.com,1,0,Ok,,50:35.2
Mary,Patterson,marypatterson@bogusemail.com,1,0,Ok,,05:23.1
Jane,Stuart,janestuart@bogusemail.com,1,2,Ok,,42:36.1
Travis,Arnold,travisarnold@bogusemail.com,1,3,Ok,,04:33.4
John,Robinson,johnrobinson@bogusemail.com,1,4,Ok,,59:33.8
Travis,Arnold,travisarnold@bogusemail.com,1,6,Ok,,28/1/17 22:02
